,F,M,SD,n,p,0,1,2,3,4,5,6,text
49,4.21,3.89,0.83,191.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.03. There was a significant effect of IV Allotted hours on DV PECC 5.03 at the p<.05 level [F(4, 371)=4.21, p=0.0]."
50,4.21,4.06,0.95,16.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.03. There was a significant effect of IV Allotted hours on DV PECC 5.03 at the p<.05 level [F(4, 371)=4.21, p=0.0]."
51,4.21,4.43,0.68,20.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.03. There was a significant effect of IV Allotted hours on DV PECC 5.03 at the p<.05 level [F(4, 371)=4.21, p=0.0]."
52,4.21,4.25,0.67,63.0,0.0,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.03. There was a significant effect of IV Allotted hours on DV PECC 5.03 at the p<.05 level [F(4, 371)=4.21, p=0.0]."
53,,,,,,,,,,,,,
54,6.8,2.88,1.32,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.03. There was a significant effect of IV Scheduled hours on DV PECC 5.03 at the p<.05 level [F(4, 353)=6.8, p=0.0]."
55,6.8,3.89,0.81,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.03. There was a significant effect of IV Scheduled hours on DV PECC 5.03 at the p<.05 level [F(4, 353)=6.8, p=0.0]."
56,6.8,4.3,0.86,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.03. There was a significant effect of IV Scheduled hours on DV PECC 5.03 at the p<.05 level [F(4, 353)=6.8, p=0.0]."
57,6.8,4.39,0.63,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.03. There was a significant effect of IV Scheduled hours on DV PECC 5.03 at the p<.05 level [F(4, 353)=6.8, p=0.0]."
58,6.8,4.11,0.77,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.03. There was a significant effect of IV Scheduled hours on DV PECC 5.03 at the p<.05 level [F(4, 353)=6.8, p=0.0]."
59,,,,,,,,,,,,,
60,0.99,4.0,0.71,29.0,0.41,,,,,,,,
61,0.99,3.95,0.84,181.0,0.41,,,,,,,,
62,0.99,4.09,0.75,64.0,0.41,,,,,,,,
63,0.99,4.05,0.84,70.0,0.41,,,,,,,,
64,0.99,3.77,0.99,32.0,0.41,,,,,,,,
65,,,,,,,,,,,,,
66,0.34,3.95,0.82,200.0,0.71,,,,,,,,
67,0.34,3.94,0.77,27.0,0.71,,,,,,,,
68,0.34,4.02,0.88,139.0,0.71,,,,,,,,
69,,,,,,,,,,,,,
70,1.2,3.99,0.96,69.0,0.31,,,,,,,,
71,1.2,4.08,0.69,38.0,0.31,,,,,,,,
72,1.2,4.19,0.8,43.0,0.31,,,,,,,,
73,1.2,3.87,0.78,69.0,0.31,,,,,,,,
74,1.2,3.93,0.85,147.0,0.31,,,,,,,,
75,,,,,,,,,,,,,
