,F,M,SD,n,p,0,1,2,3,4,5,6,text
56,2.57,4.45,0.48,28.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.05. There was a significant effect of IV Scheduled hours on DV PECC 5.05 at the p<.05 level [F(4, 353)=2.57, p=0.04]."
57,2.57,4.49,0.34,14.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.05. There was a significant effect of IV Scheduled hours on DV PECC 5.05 at the p<.05 level [F(4, 353)=2.57, p=0.04]."
58,2.57,4.41,0.43,83.0,0.04,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.05. There was a significant effect of IV Scheduled hours on DV PECC 5.05 at the p<.05 level [F(4, 353)=2.57, p=0.04]."
59,,,,,,,,,,,,,
60,1.69,4.33,0.66,29.0,0.15,,,,,,,,
61,1.69,4.31,0.45,181.0,0.15,,,,,,,,
62,1.69,4.39,0.46,64.0,0.15,,,,,,,,
63,1.69,4.26,0.54,70.0,0.15,,,,,,,,
64,1.69,4.51,0.36,32.0,0.15,,,,,,,,
65,,,,,,,,,,,,,
66,1.43,4.31,0.45,200.0,0.24,,,,,,,,
67,1.43,4.48,0.44,27.0,0.24,,,,,,,,
68,1.43,4.34,0.55,139.0,0.24,,,,,,,,
69,,,,,,,,,,,,,
70,2.21,4.28,0.52,69.0,0.07,,,,,,,,
71,2.21,4.22,0.56,38.0,0.07,,,,,,,,
72,2.21,4.32,0.59,43.0,0.07,,,,,,,,
73,2.21,4.28,0.47,69.0,0.07,,,,,,,,
74,2.21,4.42,0.43,147.0,0.07,,,,,,,,
75,,,,,,,,,,,,,
