,F,M,SD,n,p,0,1,2,3,4,5,6,text
58,8.14,4.13,0.59,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.02. There was a significant effect of IV Scheduled hours on DV PECC 5.02 at the p<.05 level [F(4, 353)=8.14, p=0.0]."
59,,,,,,,,,,,,,
60,1.39,4.0,0.68,29.0,0.24,,,,,,,,
61,1.39,4.05,0.65,181.0,0.24,,,,,,,,
62,1.39,3.99,0.67,64.0,0.24,,,,,,,,
63,1.39,4.01,0.64,70.0,0.24,,,,,,,,
64,1.39,4.3,0.57,32.0,0.24,,,,,,,,
65,,,,,,,,,,,,,
66,9.45,3.95,0.69,200.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Who dictates caseload on PECC 5.02. There was a significant effect of IV Who dictates caseload on DV PECC 5.02 at the p<.05 level [F(2, 363)=9.45, p=0.0]."
67,9.45,4.5,0.43,27.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Who dictates caseload on PECC 5.02. There was a significant effect of IV Who dictates caseload on DV PECC 5.02 at the p<.05 level [F(2, 363)=9.45, p=0.0]."
68,9.45,4.12,0.61,139.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Who dictates caseload on PECC 5.02. There was a significant effect of IV Who dictates caseload on DV PECC 5.02 at the p<.05 level [F(2, 363)=9.45, p=0.0]."
69,,,,,,,,,,,,,
70,3.16,3.99,0.57,69.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.02. There was a significant effect of IV RBT supervision % on DV PECC 5.02 at the p<.05 level [F(4, 361)=3.16, p=0.01]."
71,3.16,3.97,0.71,38.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.02. There was a significant effect of IV RBT supervision % on DV PECC 5.02 at the p<.05 level [F(4, 361)=3.16, p=0.01]."
72,3.16,4.11,0.54,43.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.02. There was a significant effect of IV RBT supervision % on DV PECC 5.02 at the p<.05 level [F(4, 361)=3.16, p=0.01]."
73,3.16,3.87,0.65,69.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.02. There was a significant effect of IV RBT supervision % on DV PECC 5.02 at the p<.05 level [F(4, 361)=3.16, p=0.01]."
74,3.16,4.18,0.7,147.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of RBT supervision % on PECC 5.02. There was a significant effect of IV RBT supervision % on DV PECC 5.02 at the p<.05 level [F(4, 361)=3.16, p=0.01]."
75,,,,,,,,,,,,,
