,F,M,SD,n,p,0,1,2,3,4,5,6,text
41,11.72,3.87,0.97,10.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.04. There was a significant effect of IV Number of candidates on DV PECC 5.04 at the p<.05 level [F(3, 394)=11.72, p=0.0]."
42,,,,,,,,,,,,,
43,8.35,3.6,0.66,253.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.04. There was a significant effect of IV Past 12 months candidates on DV PECC 5.04 at the p<.05 level [F(3, 362)=8.35, p=0.0]."
44,8.35,4.33,0.69,16.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.04. There was a significant effect of IV Past 12 months candidates on DV PECC 5.04 at the p<.05 level [F(3, 362)=8.35, p=0.0]."
45,8.35,3.84,0.67,82.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.04. There was a significant effect of IV Past 12 months candidates on DV PECC 5.04 at the p<.05 level [F(3, 362)=8.35, p=0.0]."
46,8.35,3.91,0.7,15.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.04. There was a significant effect of IV Past 12 months candidates on DV PECC 5.04 at the p<.05 level [F(3, 362)=8.35, p=0.0]."
47,,,,,,,,,,,,,
48,3.68,3.62,0.68,86.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.04. There was a significant effect of IV Allotted hours on DV PECC 5.04 at the p<.05 level [F(4, 371)=3.68, p=0.01]."
49,3.68,3.62,0.66,191.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.04. There was a significant effect of IV Allotted hours on DV PECC 5.04 at the p<.05 level [F(4, 371)=3.68, p=0.01]."
50,3.68,4.05,0.75,16.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.04. There was a significant effect of IV Allotted hours on DV PECC 5.04 at the p<.05 level [F(4, 371)=3.68, p=0.01]."
51,3.68,3.99,0.72,20.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.04. There was a significant effect of IV Allotted hours on DV PECC 5.04 at the p<.05 level [F(4, 371)=3.68, p=0.01]."
52,3.68,3.84,0.64,63.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.04. There was a significant effect of IV Allotted hours on DV PECC 5.04 at the p<.05 level [F(4, 371)=3.68, p=0.01]."
53,,,,,,,,,,,,,
54,8.72,3.52,0.35,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.04. There was a significant effect of IV Scheduled hours on DV PECC 5.04 at the p<.05 level [F(4, 353)=8.72, p=0.0]."
55,8.72,3.57,0.68,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.04. There was a significant effect of IV Scheduled hours on DV PECC 5.04 at the p<.05 level [F(4, 353)=8.72, p=0.0]."
56,8.72,3.97,0.72,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.04. There was a significant effect of IV Scheduled hours on DV PECC 5.04 at the p<.05 level [F(4, 353)=8.72, p=0.0]."
57,8.72,4.47,0.74,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.04. There was a significant effect of IV Scheduled hours on DV PECC 5.04 at the p<.05 level [F(4, 353)=8.72, p=0.0]."
58,8.72,3.82,0.62,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.04. There was a significant effect of IV Scheduled hours on DV PECC 5.04 at the p<.05 level [F(4, 353)=8.72, p=0.0]."
59,,,,,,,,,,,,,
60,1.61,3.62,0.6,29.0,0.17,,,,,,,,
61,1.61,3.62,0.64,181.0,0.17,,,,,,,,
62,1.61,3.81,0.69,64.0,0.17,,,,,,,,
63,1.61,3.76,0.77,70.0,0.17,,,,,,,,
64,1.61,3.83,0.69,32.0,0.17,,,,,,,,
65,,,,,,,,,,,,,
66,1.47,3.64,0.65,200.0,0.23,,,,,,,,
67,1.47,3.81,0.74,27.0,0.23,,,,,,,,
68,1.47,3.75,0.72,139.0,0.23,,,,,,,,
69,,,,,,,,,,,,,
70,1.96,3.82,0.71,69.0,0.1,,,,,,,,
71,1.96,3.86,0.7,38.0,0.1,,,,,,,,
72,1.96,3.76,0.7,43.0,0.1,,,,,,,,
73,1.96,3.61,0.69,69.0,0.1,,,,,,,,
74,1.96,3.62,0.66,147.0,0.1,,,,,,,,
75,,,,,,,,,,,,,
