,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency,Professional groups,Outside training area (yes/no),Credentialing requirements,Training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship,Area of study,Job classification,Place of employment,Supervision mode,Supervision training,Supervision resources,Supervision fieldwork protocol source,PECC 5.01,PECC 5.02,PECC 5.03,PECC 5.04,PECC 5.05,PECC 5.06,PECC 5.07,MISC
14,Yes,>5 years,0-2 years,Education,,Behavior analyst,,University or college,,Northeast,University,,Intensive practicum,Internet based continuing education,,7.0,0.0,0.0,"Monetary compensation,Supervision Curriculum",,2.0,4-7 candidates,1.0,2.0,No,4.441860465116279,4.523255813953488,6-10 hours a week,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,1.0,7-11 candidates,4.0,11-15 hours a week,4.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,Other,None,4.0,5.0,1.0,5.0,1.0,5.0,5.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,No,3.3248407643312103,2.0,Education,Behavior analyst,University or college,University,Internet based continuing education,"Monetary compensation,Supervision Curriculum",OtherNone,2.793023255813954,4.5,3.0,2.6,3.4,3.1666666666666665,2.0,3.2432631063204314
15,Yes,3-5 years,3-5 years,Other,,Counselor,,Other,,South,"University,Agency",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,35.0,35.0,0.0,"Protected office planning time,Training on supervision practices,Performance feedback",,5.0,4-7 candidates,5.0,5.0,Yes,5.0,5.0,6-10 hours a week,4-7 clients/consumers,5.0,Employer,Yes,10% of patient's direct services,5.0,1-3 candidates,5.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Mentorship,Live CEU events,Online CEU training,Other",Cooper Book,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,Yes,5.0,5.0,Other,Counselor,Other,"University,Agency","Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Performance feedback","Mentorship,Live CEU events,Online CEU training,OtherCooper Book",4.2,5.0,5.0,5.0,4.6,5.0,5.0,4.538461538461538
16,Yes,>5 years,>5 years,Behavior analysis,,Behavior analyst,,Home-based,,South,Agency,,Individual fieldwork,Individual mentoring,,1.0,1.0,0.0,Administrative assistance,,2.0,1-3 candidates,3.0,2.0,No,4.441860465116279,4.523255813953488,0 hours,12+ clients/consumers,2.0,Employer,Yes,10% of patient's direct services,1.0,1-3 candidates,1.0,1-5 hours a week,2.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,"Graduate course work material,Mentorship,Online CEU training",,4.0,5.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,Yes,3.0,4.0,Behavior analysis,Behavior analyst,Home-based,Agency,Individual mentoring,Administrative assistance,"Graduate course work material,Mentorship,Online CEU training",3.3930232558139535,2.75,2.0,3.0,4.4,4.0,2.75,3.5384615384615383
17,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Clinic,,West,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Training on supervision practices,Performance feedback",,4.0,1-3 candidates,2.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,2.0,Employer,Yes,5% of patient's direct services,2.0,1-3 candidates,5.0,1-5 hours a week,4.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,"Mentorship,Published supervision curriculum",,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,No,3.3248407643312103,5.0,Psychology,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Performance feedback","Mentorship,Published supervision curriculum",2.7930232558139534,3.0,4.0,2.4,3.8,4.0,3.0,2.8586477217050468
18,Yes,>5 years,>5 years,Psychology,,Behavior analyst,,Clinic,,South,Agency,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,"Protected office planning time,Training on supervision practices,Supervision Curriculum",,5.0,1-3 candidates,5.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,4.0,Employer,No,I do not supervise RBTs.,2.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,"Mentorship,Online CEU training,Published supervision curriculum",,3.0,5.0,4.0,5.0,1.0,5.0,2.0,5.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,Yes,5.0,4.0,Psychology,Behavior analyst,Clinic,Agency,"Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Training on supervision practices,Supervision Curriculum","Mentorship,Online CEU training,Published supervision curriculum",3.793023255813954,4.75,5.0,3.0,4.2,3.5,3.5,3.6153846153846154
19,Yes,3-5 years,3-5 years,Behavior analysis,,Behavior analyst,,Home-based,,Northeast,"University,Agency",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,3.0,3.0,0.0,"Protected office planning time,Administrative assistance,Performance feedback",,4.0,1-3 candidates,4.0,3.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,1.0,Employer,No,I do not supervise RBTs.,2.0,1-3 candidates,1.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,"Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,Yes,2.0,5.0,Behavior analysis,Behavior analyst,Home-based,"University,Agency","Internet based continuing education,Conferences or workshops","Protected office planning time,Administrative assistance,Performance feedback","Graduate course work material,Live CEU events,Online CEU training,Published supervision curriculum",4.193023255813953,2.0,4.0,3.8,4.0,4.5,2.5,3.6538461538461537
20,Yes,0-2 years,0-2 years,Counseling,,Behavior analyst,,Home-based,,South,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,0.0,0.0,"Training on supervision practices,Supervision Curriculum",,2.0,1-3 candidates,5.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,4-7 clients/consumers,2.0,Employer,Yes,10% of patient's direct services,3.0,1-3 candidates,5.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Live CEU events",,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,No,3.3248407643312103,4.0,Counseling,Behavior analyst,Home-based,Agency,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring","Training on supervision practices,Supervision Curriculum","Graduate course work material,Mentorship,Live CEU events",3.793023255813954,3.75,3.5,3.4,4.6,4.666666666666667,4.75,3.8586477217050468
21,Yes,3-5 years,0-2 years,Behavior analysis,,Behavior analyst,,Home-based,,West,"University,Agency",,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,2.0,1.0,0.0,"Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback",,5.0,1-3 candidates,4.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,4.0,Employer,Yes,10% of patient's direct services,1.0,1-3 candidates,4.0,1-5 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,"Mentorship,Online CEU training,Published supervision curriculum",,2.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,1.0,5.0,Yes,1.0,3.0,Behavior analysis,Behavior analyst,Home-based,"University,Agency","Internet based continuing education,Conferences or workshops,Individual mentoring","Protected office planning time,Administrative assistance,Training on supervision practices,Performance feedback","Mentorship,Online CEU training,Published supervision curriculum",3.793023255813954,3.0,5.0,5.0,5.0,3.8333333333333335,4.0,3.6153846153846154
22,Yes,>5 years,3-5 years,Education,,Behavior analyst,,Other,,West,Agency,,Group and Individual fieldwork,Conferences or workshops,,2.0,2.0,0.0,Protected office planning time,,5.0,1-3 candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,7-11 clients/consumer,4.0,Self,No,I do not supervise RBTs.,1.0,1-3 candidates,1.0,1-5 hours a week,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Live CEU events,Online CEU training,Published supervision curriculum",,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Yes,5.0,3.0,Education,Behavior analyst,Other,Agency,Conferences or workshops,Protected office planning time,"Live CEU events,Online CEU training,Published supervision curriculum",4.193023255813953,3.75,4.5,4.4,4.4,5.0,4.5,4.1923076923076925
23,Yes,3-5 years,3-5 years,Behavior analysis,,Other,,University or college,,South,University,,Intensive practicum,"Internet based continuing education,Conferences or workshops,Individual mentoring",,1.0,1.0,0.0,Performance feedback,,5.0,4-7 candidates,5.0,4.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,3.0,4-7 candidates,4.0,11-15 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Mentorship,Online CEU training,Other",,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,Yes,2.0,3.0,Behavior analysis,Other,University or college,University,"Internet based continuing education,Conferences or workshops,Individual mentoring",Performance feedback,"Graduate course work material,Mentorship,Online CEU training,Other",4.3930232558139535,4.5,5.0,5.0,5.0,5.0,4.0,4.384615384615385
25,Yes,>5 years,3-5 years,Behavior analysis,,Behavior analyst,,Other,,West,Individual private practice,,Group and Individual fieldwork,Conferences or workshops,,22.0,17.0,2.0,Monetary compensation,,5.0,12+ candidates,5.0,5.0,No,4.441860465116279,4.523255813953488,16+ hours a week,I do not provide consultation to clients/consumers,4.0,I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,1.0,12+ candidates,5.0,16+ hours a week,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Graduate course work material,Online CEU training,Other","Podcasts, articles, self-developed scope and sequence based on task list",5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,5.0,5.0,Behavior analysis,Behavior analyst,Other,Individual private practice,Conferences or workshops,Monetary compensation,"Graduate course work material,Online CEU training,OtherPodcasts, articles, self-developed scope and sequence based on task list",4.593023255813954,4.75,5.0,5.0,4.8,4.833333333333333,4.5,4.615384615384615
26,Yes,3-5 years,3-5 years,Psychology,,Behavior analyst,,Home-based,,Midwest,Agency,,Group and Individual fieldwork,Internet based continuing education,,2.0,2.0,0.0,Other,None of these ,4.0,4-7 candidates,3.0,1.0,No,4.441860465116279,4.523255813953488,0 hours,7-11 clients/consumer,3.0,Employer,Yes,10% of patient's direct services,2.0,7-11 candidates,4.0,11-15 hours a week,3.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,4.0,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,3.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,No,3.3248407643312103,3.0,Psychology,Behavior analyst,Home-based,Agency,Internet based continuing education,OtherNone of these,"Graduate course work material,Mentorship,Live CEU events,Online CEU training",3.1930232558139533,3.75,3.5,3.8,3.8,4.0,2.25,3.9355707986281234
27,Yes,3-5 years,3-5 years,Education,,Behavior analyst,,Home-based,,West,Agency,,Group and Individual fieldwork,"Internet based continuing education,Conferences or workshops",,1.0,0.0,1.0,Supervision Curriculum,,3.0,4-7 candidates,5.0,2.0,No,4.441860465116279,4.523255813953488,1-5 hours a week,12+ clients/consumers,3.0,Employer,Yes,10% of patient's direct services,3.0,4-7 candidates,3.0,6-10 hours a week,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,"Mentorship,Live CEU events,Published supervision curriculum",,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,No,3.3248407643312103,3.0,Education,Behavior analyst,Home-based,Agency,"Internet based continuing education,Conferences or workshops",Supervision Curriculum,"Mentorship,Live CEU events,Published supervision curriculum",3.9930232558139536,3.5,4.0,4.6,4.8,4.666666666666667,3.75,4.050955414012739
