,F,M,SD,n,p,0,1,2,3,4,5,6,text
39,5.71,4.33,0.33,4.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on MISC. There was a significant effect of IV Number of candidates on DV MISC at the p<.05 level [F(3, 394)=5.71, p=0.0]."
40,5.71,4.01,0.36,73.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on MISC. There was a significant effect of IV Number of candidates on DV MISC at the p<.05 level [F(3, 394)=5.71, p=0.0]."
41,5.71,3.69,0.72,10.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on MISC. There was a significant effect of IV Number of candidates on DV MISC at the p<.05 level [F(3, 394)=5.71, p=0.0]."
42,,,,,,,,,,,,,
43,3.96,3.84,0.42,253.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on MISC. There was a significant effect of IV Past 12 months candidates on DV MISC at the p<.05 level [F(3, 362)=3.96, p=0.01]."
44,3.96,4.18,0.48,16.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on MISC. There was a significant effect of IV Past 12 months candidates on DV MISC at the p<.05 level [F(3, 362)=3.96, p=0.01]."
45,3.96,3.93,0.36,82.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on MISC. There was a significant effect of IV Past 12 months candidates on DV MISC at the p<.05 level [F(3, 362)=3.96, p=0.01]."
46,3.96,3.92,0.34,15.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on MISC. There was a significant effect of IV Past 12 months candidates on DV MISC at the p<.05 level [F(3, 362)=3.96, p=0.01]."
47,,,,,,,,,,,,,
48,5.98,3.77,0.41,86.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on MISC. There was a significant effect of IV Allotted hours on DV MISC at the p<.05 level [F(4, 371)=5.98, p=0.0]."
49,5.98,3.84,0.4,191.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on MISC. There was a significant effect of IV Allotted hours on DV MISC at the p<.05 level [F(4, 371)=5.98, p=0.0]."
50,5.98,4.07,0.42,16.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on MISC. There was a significant effect of IV Allotted hours on DV MISC at the p<.05 level [F(4, 371)=5.98, p=0.0]."
51,5.98,4.12,0.4,20.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on MISC. There was a significant effect of IV Allotted hours on DV MISC at the p<.05 level [F(4, 371)=5.98, p=0.0]."
52,5.98,3.99,0.36,63.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on MISC. There was a significant effect of IV Allotted hours on DV MISC at the p<.05 level [F(4, 371)=5.98, p=0.0]."
53,,,,,,,,,,,,,
54,9.51,3.67,0.18,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on MISC. There was a significant effect of IV Scheduled hours on DV MISC at the p<.05 level [F(4, 353)=9.51, p=0.0]."
55,9.51,3.8,0.42,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on MISC. There was a significant effect of IV Scheduled hours on DV MISC at the p<.05 level [F(4, 353)=9.51, p=0.0]."
56,9.51,4.11,0.33,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on MISC. There was a significant effect of IV Scheduled hours on DV MISC at the p<.05 level [F(4, 353)=9.51, p=0.0]."
57,9.51,4.3,0.38,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on MISC. There was a significant effect of IV Scheduled hours on DV MISC at the p<.05 level [F(4, 353)=9.51, p=0.0]."
58,9.51,3.95,0.37,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on MISC. There was a significant effect of IV Scheduled hours on DV MISC at the p<.05 level [F(4, 353)=9.51, p=0.0]."
59,,,,,,,,,,,,,
60,1.75,3.83,0.41,29.0,0.14,,,,,,,,
61,1.75,3.83,0.41,181.0,0.14,,,,,,,,
62,1.75,3.94,0.43,64.0,0.14,,,,,,,,
63,1.75,3.89,0.43,70.0,0.14,,,,,,,,
64,1.75,4.0,0.31,32.0,0.14,,,,,,,,
65,,,,,,,,,,,,,
66,1.12,3.85,0.42,200.0,0.33,,,,,,,,
67,1.12,3.96,0.36,27.0,0.33,,,,,,,,
68,1.12,3.9,0.41,139.0,0.33,,,,,,,,
69,,,,,,,,,,,,,
70,1.53,3.88,0.45,69.0,0.19,,,,,,,,
71,1.53,3.92,0.46,38.0,0.19,,,,,,,,
72,1.53,3.95,0.4,43.0,0.19,,,,,,,,
73,1.53,3.78,0.4,69.0,0.19,,,,,,,,
74,1.53,3.89,0.39,147.0,0.19,,,,,,,,
75,,,,,,,,,,,,,
