,F,M,SD,n,p,0,1,2,3,4,5,6,text
38,4.21,3.61,0.56,311.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.01. There was a significant effect of IV Number of candidates on DV PECC 5.01 at the p<.05 level [F(3, 394)=4.21, p=0.01]."
39,4.21,4.47,0.43,4.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.01. There was a significant effect of IV Number of candidates on DV PECC 5.01 at the p<.05 level [F(3, 394)=4.21, p=0.01]."
40,4.21,3.75,0.55,73.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.01. There was a significant effect of IV Number of candidates on DV PECC 5.01 at the p<.05 level [F(3, 394)=4.21, p=0.01]."
41,4.21,3.71,0.83,10.0,0.01,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Number of candidates on PECC 5.01. There was a significant effect of IV Number of candidates on DV PECC 5.01 at the p<.05 level [F(3, 394)=4.21, p=0.01]."
42,,,,,,,,,,,,,
43,7.64,3.58,0.58,253.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.01. There was a significant effect of IV Past 12 months candidates on DV PECC 5.01 at the p<.05 level [F(3, 362)=7.64, p=0.0]."
44,7.64,4.24,0.67,16.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.01. There was a significant effect of IV Past 12 months candidates on DV PECC 5.01 at the p<.05 level [F(3, 362)=7.64, p=0.0]."
45,7.64,3.72,0.52,82.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.01. There was a significant effect of IV Past 12 months candidates on DV PECC 5.01 at the p<.05 level [F(3, 362)=7.64, p=0.0]."
46,7.64,3.47,0.52,15.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Past 12 months candidates on PECC 5.01. There was a significant effect of IV Past 12 months candidates on DV PECC 5.01 at the p<.05 level [F(3, 362)=7.64, p=0.0]."
47,,,,,,,,,,,,,
48,7.9,3.55,0.53,86.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.01. There was a significant effect of IV Allotted hours on DV PECC 5.01 at the p<.05 level [F(4, 371)=7.9, p=0.0]."
49,7.9,3.55,0.58,191.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.01. There was a significant effect of IV Allotted hours on DV PECC 5.01 at the p<.05 level [F(4, 371)=7.9, p=0.0]."
50,7.9,3.93,0.45,16.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.01. There was a significant effect of IV Allotted hours on DV PECC 5.01 at the p<.05 level [F(4, 371)=7.9, p=0.0]."
51,7.9,4.12,0.55,20.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.01. There was a significant effect of IV Allotted hours on DV PECC 5.01 at the p<.05 level [F(4, 371)=7.9, p=0.0]."
52,7.9,3.8,0.54,63.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Allotted hours on PECC 5.01. There was a significant effect of IV Allotted hours on DV PECC 5.01 at the p<.05 level [F(4, 371)=7.9, p=0.0]."
53,,,,,,,,,,,,,
54,14.73,3.14,0.36,8.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.01. There was a significant effect of IV Scheduled hours on DV PECC 5.01 at the p<.05 level [F(4, 353)=14.73, p=0.0]."
55,14.73,3.53,0.55,225.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.01. There was a significant effect of IV Scheduled hours on DV PECC 5.01 at the p<.05 level [F(4, 353)=14.73, p=0.0]."
56,14.73,4.01,0.55,28.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.01. There was a significant effect of IV Scheduled hours on DV PECC 5.01 at the p<.05 level [F(4, 353)=14.73, p=0.0]."
57,14.73,4.42,0.48,14.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.01. There was a significant effect of IV Scheduled hours on DV PECC 5.01 at the p<.05 level [F(4, 353)=14.73, p=0.0]."
58,14.73,3.7,0.52,83.0,.00,,,,,,,,"A one-way between groups ANOVA was conducted to compare the effect of Scheduled hours on PECC 5.01. There was a significant effect of IV Scheduled hours on DV PECC 5.01 at the p<.05 level [F(4, 353)=14.73, p=0.0]."
59,,,,,,,,,,,,,
60,1.68,3.71,0.53,29.0,0.15,,,,,,,,
61,1.68,3.57,0.58,181.0,0.15,,,,,,,,
62,1.68,3.71,0.58,64.0,0.15,,,,,,,,
63,1.68,3.68,0.59,70.0,0.15,,,,,,,,
64,1.68,3.78,0.53,32.0,0.15,,,,,,,,
65,,,,,,,,,,,,,
66,1.75,3.59,0.58,200.0,0.18,,,,,,,,
67,1.75,3.76,0.54,27.0,0.18,,,,,,,,
68,1.75,3.68,0.59,139.0,0.18,,,,,,,,
69,,,,,,,,,,,,,
70,1.81,3.6,0.59,69.0,0.13,,,,,,,,
71,1.81,3.68,0.5,38.0,0.13,,,,,,,,
72,1.81,3.66,0.63,43.0,0.13,,,,,,,,
73,1.81,3.49,0.54,69.0,0.13,,,,,,,,
74,1.81,3.71,0.59,147.0,0.13,,,,,,,,
75,,,,,,,,,,,,,
