,Area of study,Job classification,Place of employment,State,Supervision mode,Supervision format,Number of candidates,Past 12 months candidates,Allotted hours,Scheduled hours,Number of clients,Who dictates caseload,RBT supervision %
Peer evaluate,0.855,0.203,0.976,0.456,0.611,0.138,0.693,0.696,0.021,0.008,0.674,0.151,0.258
Take baseline,0.414,0.637,0.259,0.043,0.048,0.265,0.623,0.248,0.295,0.112,0.048,0.45,0.883
Detect barriers to supervision,0.458,0.1,0.038,0.538,0.921,0.409,0.128,0.563,0.763,0.689,0.415,0.246,0.496
BST case presentation,0.52,0.78,0.563,0.768,0.067,0.571,0.434,0.759,0.291,0.674,0.082,0.983,0.476
Send agenda,0.312,0.504,0.224,0.57,0.062,0.809,0.229,0.01,0.035,0.075,0.108,0.33,0.436
Meeting notes,0.767,0.322,0.232,0.022,0.207,0.5,0.801,0.54,0.397,0.361,0.07,0.612,0.473
Return communications within 48 hours,0.008,0.001,0.113,0.248,0.504,0.0,0.0,0.476,0.625,0.762,0.346,0.725,0.602
Discourage distractions,0.14,0.311,0.306,0.02,0.377,0.28,0.005,0.551,0.758,0.344,0.886,0.13,0.006
Observe body language,0.731,0.892,0.154,0.116,0.287,0.24,0.849,0.755,0.396,0.779,0.496,0.064,0.278
Maintain positive rapport,0.393,0.009,0.856,0.203,0.955,0.001,0.023,0.816,0.405,0.039,0.353,0.819,0.067
Self-assess interpersonal skills,0.484,0.928,0.472,0.14,0.053,0.847,0.123,0.819,0.4,0.905,0.773,0.676,0.535
Group supervision,0.704,0.861,0.349,0.644,0.007,0.0,0.0,0.008,0.661,0.034,0.116,0.008,0.046
Create group activities,0.732,0.782,0.174,0.261,0.298,0.0,0.0,0.009,0.367,0.034,0.225,0.021,0.058
Include ethics,0.406,0.076,0.572,0.631,0.386,0.012,0.0,0.635,0.824,0.752,0.925,0.062,0.944
Arrive on time,0.859,0.139,0.79,0.096,0.012,0.055,0.005,0.078,0.015,0.122,0.493,0.497,0.577
Discuss how to give feedback,0.528,0.165,0.045,0.747,0.508,0.155,0.017,0.938,0.066,0.568,0.413,0.299,0.478
Schedule direct observations,0.712,0.002,0.531,0.396,0.216,0.0,0.003,0.232,0.105,0.294,0.058,0.085,0.857
Schedule standing supervision appointments,0.586,0.596,0.021,0.078,0.65,0.477,0.209,0.32,0.252,0.282,0.193,0.059,0.173
Continue professional relationship,0.01,0.289,0.523,0.579,0.08,0.008,0.101,0.408,0.129,0.241,0.098,0.381,0.814
Review literature,0.883,0.37,0.21,0.009,0.642,0.079,0.0,0.755,0.612,0.425,0.411,0.038,0.376
Attend conferences,0.687,0.6,0.084,0.029,0.848,0.328,0.933,0.103,0.545,0.665,0.41,0.27,0.052
Participate in peer review,0.816,0.096,0.013,0.107,0.722,0.098,0.037,0.728,0.218,0.43,0.508,0.224,0.844
Seek mentorship,0.242,0.546,0.966,0.146,0.62,0.178,0.44,0.602,0.256,0.34,0.998,0.03,0.159
Supervisory study groups,0.276,0.729,0.82,0.579,0.256,0.318,0.363,0.15,0.019,0.0,0.341,0.367,0.341
